date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-04-26,2357.0,195351.0,415.0,26384.0,24113.0,368570.0,3230.9807106725257,436.37450061880367,6095.91228369741
2020-04-27,2324.0,197675.0,260.0,26644.0,26678.0,395248.0,3269.418185636068,440.67473447875244,6537.149356450155
2020-04-28,1739.0,199414.0,333.0,26977.0,37554.0,432802.0,3298.180134414725,446.1823416916869,7158.26851943676
2020-04-29,2091.0,201505.0,382.0,27359.0,38589.0,471391.0,3332.7639382653133,452.50037759361163,7796.505921058159
2020-04-30,2086.0,203591.0,323.0,27682.0,41441.0,512832.0,3367.2650453109027,457.842591196548,8481.913580250997
2020-05-01,1872.0,205463.0,285.0,27967.0,43732.0,556564.0,3398.226729102534,462.55630908149186,9205.212915494385
2020-05-02,1965.0,207428.0,269.0,28236.0,31231.0,587795.0,3430.726573467147,467.0053971904389,9721.753698879233
2020-05-03,1900.0,209328.0,474.0,28710.0,27047.0,614842.0,3462.151359366773,474.8450543043455,10169.093795840907
2020-05-04,1389.0,210717.0,174.0,28884.0,22999.0,637841.0,3485.124531795499,477.72290311831125,10549.482559475377
2020-05-05,1221.0,211938.0,195.0,29079.0,32211.0,670052.0,3505.319091576259,480.9480785132729,11082.231916640032
2020-05-06,1075.0,213013.0,236.0,29315.0,37771.0,707823.0,3523.0989046510467,484.8513677092264,11706.940120963594
2020-05-07,1444.0,214457.0,369.0,29684.0,13665.0,721488.0,3546.9817419347623,490.9543919181537,11932.950489025903
2020-05-08,1401.0,215858.0,274.0,29958.0,45428.0,766916.0,3570.1533866954865,495.4861768320998,12684.300580524956
2020-05-09,1327.0,217185.0,243.0,30201.0,36091.0,803007.0,3592.1011187422255,499.5052415550519,13281.222658368848
2020-05-10,1083.0,218268.0,194.0,30395.0,31384.0,834391.0,3610.013246705012,502.7138775890137,13800.293963986665
2020-05-11,802.0,219070.0,165.0,30560.0,25823.0,860214.0,3623.277814226854,505.44287215398117,14227.389883084581
